Route #,Stop #,Delivery Size,Geocoded Address,Name,Street Address,Street Address #2,City,Zip,Meals
Route 1,1,,22752 Boltana Mission Viejo CA,New York Life Daniel Katzman,22752 Boltana,,Mission Viejo,92691,2
Route 1,2,,27742 Vista Del Lago Mission Viejo CA,Demetry Team Coldwell Banker,27742 Vista Del Lago,,Mission Viejo,92692,1
Route 1,3,,27792 Vista Del Lago Mission Viejo CA,Hacienda on the Lake,27792 Visa Del Lago,,Mission Viejo,92692,1
Route 1,4,,27802 Vista Del Lago Mission Viejo CA,Domenico's on the Lake,27802 Vista Del Lago,Ste c26,Mission Viejo,92692,1
Route 1,5,,28813 Los Alisos Blvd Mission Viejo CA,Ballpark Pizza Team,28813 Los Alisos Blvd,,Mission Viejo,92692,1
Route 1,6,,28719 Los Alisos Blvd Mission Viejo CA,Piccolino Ristorante,28719 Los Alisos Blvd,,Mission Viejo,92692,1
Route 1,7,,27695 Santa Margarita Pkwy Mission Viejo CA,Black Oak Pizzeria,27695 Santa Margarita Pkwy,,Mission Viejo,92691,1
Route 1,8,,27775 Santa Margarita Pkwy Mission Viejo CA,Gemma's Jewelers,27775 Santa Margarita Pkwy,Ste C,Mission Viejo,92691,1
Route 1,9,,26741 Portola Pkwy Lake Forest CA,Easy Fleet GPS,26741 Portola Pkwy,Ste 1E #668,Foothill Ranch,92610,1
Route 1,10,,26632 Towne Centre Dr Lake Forest CA,The Le Firm,26632 Towne Centre Drive,#300,Lake Forest,92610,1
Route 1,11,,27121 Towne Centre Dr Lake Forest CA,Cox,27121 Towne Center Drive,,Foothill Ranch,92610,1
Route 1,12,,20331 Lake Forest Dr Lake Forest CA,Visiting Angels,20331 Lake Forest Dr,Ste C6,Lake Forest,92630,1
Route 1,13,,27758 Santa Margarita Pkwy Mission Viejo CA,Parmenter Insurance,27758 Santa Margarita Pkwy,#283,Mission Viejo,92691,1
Route 1,14,,27762 Santa Margarita Pkwy Mission Viejo CA,Aloha Stacks,27762 Santa Margarita Pkwy,,Mission Viejo,92691,1
Route 1,15,,27758 Santa Margarita Pkwy Mission Viejo CA,Spirit League,27758 Santa Margarita Pkwy,#303,Mission Viejo,92691,1
Route 1,16,,27738 Santa Margarita Pkwy Mission Viejo CA,The Joint Chiropractic,27738 Santa Margarita Pkwy,,Mission Viejo,92691,1
Route 1,17,,30021 Tomas Rancho Santa Margarita CA,Computnet Technologies,30021 Tomas,Ste 120,RSM,92688,1
Route 1,18,,22342 Avenida Empresa Rancho Santa Margarita CA,Edward Jones,22342 Avenida Empresa,Ste 240,RSM,92688,1
Route 1,19,,29961 Santa Margarita Pkwy Rancho Santa Margarita CA,RSM Honda,29961 Santa Margarita Pkwy,,RSM,92688,1
Route 2,1,,24711 Venablo Dr Mission Viejo CA,A Comfortable Life,24711 Venablo Dr,,Mission Viejo,92691,1
Route 2,2,,27474 Casta Del Sol Mission Viejo CA,Mission Viejo Nadadores,27474 Casta Del Sol Drie,,Mission Viejo,92692,1
Route 2,3,,23120 Alicia Pkwy Mission Viejo CA,Mission Viejo Football Club,23120 Alicia Parkway,Ste 234,Mission Viejo,92692,1
Route 2,4,,23052 Alicia Pkwy Mission Viejo CA,Smile Dental Boutique,23052 Alicia Parkway,Ste B2,Mission Viejo,92692,1
Route 2,5,,23052 Alicia Pkwy Mission Viejo CA,Uforce Fitness,23052 Alicia Parkway,Ste C,Mission Viejo,92692,1
Route 2,6,,23052 Alicia Pkwy Mission Viejo CA,Bagels & Brew,23052 Alicia Parkway,,Mission Viejo,92692,1
Route 2,7,,50 Sillero Rancho Santa Margarita CA,Joan Bornstein Real Estate,50 Sillero,,RSM,92688,1
Route 2,8,,18 Alicante Coto De Caza CA,Agentinc Nick & Jan RE Team,18 Alicante,,Coto de Caza,92679,1
Route 2,9,,27772 Vista Del Lago Mission Viejo CA,OC Fitness Coach,27772 Vista Del Lago,Ste B18,Mission Viejo,92692,1
Route 2,10,,26991 Vía Fiesta Mission Viejo CA,Young Living Essential Oils,26991 Via Fiesta,,Mission Viejo,92691,1
Route 2,11,,22902 Los Alisos Blvd Mission Viejo CA,All Star Pizza,22902 Los Alisos Blvd,Ste G,Mission Viejo,92691,1
Route 2,12,,22951 Los Alisos Blvd Mission Viejo CA,Elephant Signage & Display,22951 Los Alisos Blvd,#5,Mission Viejo,92691,1
Route 2,13,,26545 Vía Conchita Mission Viejo CA,Creative Cravings Catering,26545 Via Conchita,,Mission Viejo,92691,1
Route 2,14,,23502 Alicia Pkwy Mission Viejo CA,Aramark Facility & Uniform Services,23502 Alicia Parkway,Ste H-187,Mission Viejo,92692,1
Route 2,15,,26811 Trabuco Rd Mission Viejo CA,Lock-Tech,mobile locksmith,,Mission Viejo,92691,1
Route 2,16,,26861 Trabuco Rd Mission Viejo CA,Surfin Donuts,26861 Trabuco Road,#G,Mission Viejo,92691,1
Route 2,17,,24031 Marguerite Pkwy Mission Viejo CA,Cal Med Pharmacy,24031-A Marguerite Pkwy,,Mission Viejo,92692,1
Route 2,18,,27182 Puerta Del Oro Mission Viejo CA,Mission Viejo Rotary Club,27182 Puerta del Oro,,Mission Viejo,92691,1
Route 2,19,,28026 Paseo Rincon Mission Viejo CA,Ohana Home Renovations,28026 Paseo Rincon,,Mission Viejo,92692,1
Route 3,1,,25108 Marguerite Pkwy Mission Viejo CA,Servpro of MV,25108 Marguerite Parkway,#A511,Mission Viejo,92692,1
Route 3,2,,25102 Marguerite Pkwy Mission Viejo CA,OC Pizza MV,25102 Marguerite Pkwy,Ste B,Mission Viejo,92692,1
Route 3,3,,25522 Marguerite Pkwy Mission Viejo CA,High Ground Coffee House,25522 Marguerite Parkway,#102,Mission Viejo,92692,1
Route 3,4,,25482 Marguerite Pkwy Mission Viejo CA,Marque Urgent Care,25482 Marguerite Parkway,Ste 101,Mission Viejo,92692,1
Route 3,5,,25350 Marguerite Pkwy Mission Viejo CA,Soul Movement Yoga,25350 Marguerite Pkwy,Ste C,Mission Viejo,92692,1
Route 3,6,,25330 Marguerite Pkwy Mission Viejo CA,Kwik Kopy Printing,25330 Marguerite Parkway,Ste B,Mission Viejo,92692,1
Route 3,7,,25350 Marguerite Pkwy Mission Viejo CA,Callie Girl Boutique,25350 Marguerite Pkwy,Ste D,Mission Viejo,92692,1
Route 3,8,,100 Civic Center Mission Viejo CA,Friends of MV Library,100 Civic Center,,Mission Viejo,92691,1
Route 3,9,,200 Civic Center Mission Viejo CA,City of MV,200 Civic Center,,Mission Viejo,92691,1
Route 3,10,,25513 Marguerite Pkwy Mission Viejo CA,California Pizza Kitchen,25513 Marguerite Pkwy,,Mission Viejo,92691,1
Route 3,11,,25571 Marguerite Pkwy Mission Viejo CA,State Farm Insurance,25571 Marguerite Pkwy,Ste #2-O,Mission Viejo,92692,1
Route 3,12,,26872 Estanciero Dr Mission Viejo CA,St Killian Church,26872 Estanciero Dr,,Mission Viejo,92691,1
Route 3,13,,26151 Marguerite Pkwy Mission Viejo CA,Coastal Naturopathic Wellness,26151 Marguerite Pkwy,,Mission Viejo,92692,1
Route 3,14,,26111 Antonio Pkwy Rancho Santa Margarita CA,Santa Margarita Water District,26111 Antonio Pkwy,,Las Flores,92679,1
Route 3,15,,25591 Aria Dr Mission Viejo CA,Kgrafix Creative Design,25591 Aria Dr,,Mission Viejo,92692,1
Route 3,16,,25721 Pacific Hills Dr Mission Viejo CA,Nova Health Care,25721 Pacific Hills Dr,,Mission Viejo,92692,1
Route 3,17,,26012 Marguerite Pkwy Mission Viejo CA,StretchLab,26012 Marguerite Pkwy,Ste E,Mission Viejo,92692,1
Route 3,18,,26012 Marguerite Pkwy Mission Viejo CA,BrighCare Vet,26012 Marguerite Pkwy,Ste O,Mission Viejo,92692,1
Route 3,19,,27200 La Paz Rd Mission Viejo CA,Bravos Calif Fresh,27200 La Paz Road,,Mission Viejo,92692,1
Route 4,1,,26402 Marguerite Pkwy Mission Viejo CA,Wells Fargo Bank,26402 Marguerite Parkway,,Mission Viejo,92692,1
Route 4,2,,26342 Oso Pkwy Mission Viejo CA,Wineworks Inc,26342 Oso Pkwy,,Mission Viejo,92691,1
Route 4,3,,26361 Crown Valley Pkwy Mission Viejo CA,"Journey Bird Social & Eagle Vision ",26361 Crown Valley Parkway,Ste 210,Mission Viejo,92688,1
Route 4,4,,27401 Los Altos Mission Viejo CA,Rescom Financial Services,27401 Los Altos,Ste 285,Mission Viejo,92691,1
Route 4,5,,26522 La Alameda Mission Viejo CA,Estelle & Kennedy APLC,26522 La Alameda,Ste 285,Mission Viejo,92691,1
Route 4,6,,26522 La Alameda Mission Viejo CA,Adantis Insurance Services,26522 La Alameda,Ste 210,Mission Viejo,92691,1
Route 4,7,,26980 Crown Valley Pkwy Mission Viejo CA,Raising Cane's,26980 Crown Valley Parkway,,Mission Viejo,92691,1
Route 4,8,,26730 Crown Valley Pkwy Mission Viejo CA,Mission Surgery Center,26730 Crown Valley Pkwy,Ste 100,Mission Viejo,92691,1
Route 4,9,,27700 Medical Center Rd Mission Viejo CA,Providence Mission Hospital,27700 Medical Center Road,,Mission Viejo,92691,1
Route 4,10,,602 Shops At Mission Viejo Mission Viejo CA,Optometry at the Shops,602 The Shops at Mission Viejo,,Mission Viejo,92691,1
Route 4,11,,800 Shops At Mission Viejo Mission Viejo CA,PF Changs,800 The Shops at Mission Viejo,,Mission Viejo,92691,1
Route 4,12,,662 Camino San Clemente San Clemente CA,San Diego Gas and Electric,662 Camino de Los Mares,,San Clemente,92673,1
Route 4,13,,26772 Avery Pkwy Mission Viejo CA,Arroyo Trabuco Golf Club,26772 Avery Parkway,,Mission Viejo,92692,1
Route 4,14,,29005 Consuelo Pl Mission Viejo CA,Dryer Vent Wizard,29005 Consuelo Pl,,Mission Viejo,92692,1
Route 4,15,,28000 Marguerite Pkwy Mission Viejo CA,Saddleback College,28000 Marguerite Parkway,,Mission Viejo,92692,1
Route 4,16,,27680 Marguerite Pkwy Mission Viejo CA,Stacks Pancake House,27680 Marguerite #C,,Mission Viejo,92692,1
Route 4,17,,3 Calliandra St Ladera Ranch CA,Wise Choices Realty,3 Calliandra St,,Ladera Ranch,92694,1
Route 4,18,,27762 Antonio Pkwy Ladera Ranch CA,Alta Claims & Insurance,27762 Antonio Parkway,Ste L-1 #449,Ladera Ranch,92694,1
Route 4,19,,49 Dartmouth Ln Trabuco Canyon CA,Paradise Photography,49 Darmouth Lane,,Coto,92679,1
Route 5,1,,26332 Pacato Dr Mission Viejo CA,SA Electric,26332 Pacato Dr,,Mission Viejo,92691,1
Route 5,2,,23691 Via Linda Mission Viejo CA,Memar Inc,"23691 Via Linda, Unit B",,Mission Viejo,92691,1
Route 5,3,,23641 Via Linda Mission Viejo CA,High Park Tap House,23641 Via Linda,,Mission Viejo,92691,1
Route 5,4,,26024 Acero Mission Viejo CA,Pacific Neuropsychiatric Specialists,26024 Acero,,Mission Viejo,92691,1
Route 5,5,,1 Orchard Rd Lake Forest CA,Edwards Jones Investments,1 Orchard Road,Ste 200,Lake Forest,92630,1
Route 5,6,,26400 La Alameda Mission Viejo CA,Edward Jones,26400 La Alameda,Ste 104,Mission Viejo,92691,1
Route 5,7,,27285 Las Ramblas Mission Viejo CA,Assistaing Hands Home Care,27285 Las Ramblas,Ste 100,Mission Viejo,92691,1
Route 5,8,,27201 Puerta Real Mission Viejo CA,Charles Abbott Associates,27201 Puerta Real,Ste 200,Mission Viejo,92691,1
Route 5,9,,27201 Puerta Real Mission Viejo CA,Partners Bank of Calif,27201 Puerta Real,E160,Mission Viejo,92691,1
Route 5,10,,27201 Puerta Real Mission Viejo CA,Christopher Lee Law Firm,27201 Puerta Real,#300,Mission Viejo,92691,2
Route 5,11,,27525 Puerta Real Mission Viejo CA,Ziggi's Coffee,27525 Puerta Real,#500,Mission Viejo,92691,2
Route 5,12,,27551 Puerta Real Mission Viejo CA,Target MV South,27551 Puerta Real,,Mission Viejo,92610,1
Route 5,13,,27741 Crown Valley Pkwy Mission Viejo CA,Panini Kabob Grill,27741 Crown Valley Pkwy,Ste #212,Mission Viejo,92691,1
Route 5,14,,27529 Puerta Real Mission Viejo CA,South & Beauty MedX,27529 Puerta Real,#9,Mission Viejo,92691,1
Route 5,15,,25552 El Paseo Mission Viejo CA,Jacuzzi Hot Tub & Outdoor Living,25552 El Paseo,,Mission Viejo,92692,1
Route 5,16,,25802 El Paseo Mission Viejo CA,Krispy Kreme Doughnuts,"25802 El Paseo ",,Mission Viejo,92691,1
Route 5,17,,25401 Cabot Rd Laguna Hills CA,The Mommy Center,25401 Cabot Rd,Ste 105,Laguna Hills,92653,1
Route 5,18,,24851 Chrisanta Dr Mission Viejo CA,Mount of Olives Church,24851 Christana Dr,,Mission Viejo,92691,1
Route 5,19,,26302 La Paz Rd Mission Viejo CA,Faith Family Chiropractic,26302 La Paz Road,Ste 213,Mission Viejo,92691,1
Route 6,1,,27741 Crown Valley Pkwy Mission Viejo CA,Sal's Pizzeria,27741 Crown Valley Pkwy,Ste #313,Mission Viejo,92691,1
Route 6,2,,27672 Crown Valley Pkwy Mission Viejo CA,"Financial Partners Credit Union ",27672 Crown Valley Parkway,,Mission Viejo,92679,1
Route 6,3,,Crown Valley Pkwy Mission Viejo CA,Talbots,2700 Crown Valley Parkway,,Mission Viejo,92691,1
Route 6,4,,555 Shops At Mission Viejo Mission Viejo CA,Brite and Beautiful OC,555 The Shops at MV,#26,Mission Viejo,92691,2
Route 6,5,,799 Shops At Mission Viejo Mission Viejo CA,Islands Restaurant,799 The Shops At MV,Ste A,Mission Viejo,92691,1
Route 6,6,,28621 Marguerite Pkwy Mission Viejo CA,Epic Wings,28621 Marguerite Pkwy,#B6,Mission Viejo,92692,1
Route 6,7,,28802 Marguerite Pkwy Mission Viejo CA,Mission Viejo Acura,28802 Marguerite Pkwy,,Mission Viejo,92692,1
Route 6,8,,28682 Marguerite Pkwy Mission Viejo CA,Hampton Inn & Suites,28682 Marguerite Pkwy,,Mission Viejo,92692,1
Route 6,9,,28570 Marguerite Pkwy Mission Viejo CA,Morning Star of MV,28570 Marguerite Pkwy,,Mission Viejo,92692,1
Route 6,10,,28251 Marguerite Pkwy Mission Viejo CA,Taqueros Mexican Restaurant,28251 Marguerite Pkwy,Ste G,Mission Viejo,92692,1
Route 6,11,,28261 Marguerite Pkwy Mission Viejo CA,Family Tree Orthodontics,28261 Marguerite Pkwy,#225,Mission Viejo,92691,1
Route 6,12,,28242 Marguerite Pkwy Mission Viejo CA,South County Lexus,28242 Margerite Parkway,,Mission Viejo,92692,1
Route 6,13,,28231 Marguerite Pkwy Mission Viejo CA,United States Air Force,"28231 Marguerite Parkway, Ste 3",Ste 3,Mission Viejo,92692,1
Route 6,14,,26281 Avery Pkwy Mission Viejo CA,Tempur Pedic,26281 Avery Pkwy,Ste A&B,Mission Viejo,92692,1
Route 6,15,,27692 Camino Capistrano Laguna Niguel CA,On Target Shooting Ranch,27692 Camino Capistrano,,Laguna Niguel,92677,1
Route 6,16,,34522 Camino Capistrano Dana Point CA,OC Real Estate Visuals,34522 Camino Capistrano,,Capistrano Beach,92624,1
Route 6,17,,33122 Valle Rd San Juan Capistrano CA,College & Career Advantage,33122 Valle Road,,San Juan Capistrano,92675,1
Route 6,18,,33122 Valle Rd San Juan Capistrano CA,Capistrano Unified School District,33122 Valle Road,,San Juan Capistrano,92675,1
Route 7,1,,25909 Pala Mission Viejo CA,Pacific Coast CPAs,25909 Pala,#140,Mission Viejo,92691,1
Route 7,2,,25909 Pala Mission Viejo CA,Glenn B Hetzel CPAs,25909 Pala,#320,Mission Viejo,92691,1
Route 7,3,,26021 Pala Mission Viejo CA,DryMaster,26021 Pala,Ste 150,Mission Viejo,92691,1
Route 7,4,,23382 Madero Mission Viejo CA,Kinetik Performance Rehab,23382 Madero,Ste A,Mission Viejo,92691,1
Route 7,5,,23372 Madero Mission Viejo CA,J&M Trophies,23372-A Maderon Road,,Mission Viejo,92691,1
Route 7,6,,23255 Madero Mission Viejo CA,Angels El Toro Transmission,23255 Madero,Ste B101,Mission Viejo,92691,1
Route 7,7,,23162 Los Alisos Blvd Mission Viejo CA,Shahi Jewelry,23162 Los Alisos Blvd,,Mission Viejo,92691,1
Route 7,8,,22996 El Toro Rd Lake Forest CA,Rudy's Christmas Trees,22996 El Toro,Ste 113,Lake Forest,92630,1
Route 7,9,,25542 Jeronimo Rd Mission Viejo CA,Hacienda La Joya,25542 Jeronimo Rd,#6,Mission Viejo,92691,1
Route 7,10,,25631 Peter A Hartman Way Mission Viejo CA,SVUSD,25631 Peter Hartman Way,,Mission Viejo,92691,2
Route 7,11,,23672 Vía Fabricante Mission Viejo CA,A-Z Tech Automotive,23672 Via Fabricante,,Mission Viejo,92691,1
Route 7,12,,25732 Taladro Cir Mission Viejo CA,Smart Cups,25732 Taladro Circle,,Mission Viejo,92691,1
Route 7,13,,25652 Taladro Cir Mission Viejo CA,The Bee Man,25652 Taladro Circle,Ste G,Mission Viejo,92691,1
Route 7,14,,Vía Fabricante Mission Viejo CA,Mission Viejo Auto Collision,"23812 A1 Via Fabricante ",,Mission Viejo,92691,1
Route 7,15,,24002 Vía Fabricante Mission Viejo CA,Custom Comfort Mattress,24002 Via Fabricante,,Mission Viejo,92691,1
Route 7,16,,24002 Vía Fabricante Mission Viejo CA,Sterling Carpet & Flooring,24002 Via Fabricante,#104,Mission Viejo,92691,1
Route 7,17,,25800 Jeronimo Rd Mission Viejo CA,Project Eyecare Optometry,25800 Jeronimo Road,Ste 701,Mission Viejo,92691,1
Route 7,18,,23862 Copenhagen St Mission Viejo CA,Pillar to Post Home Inspectors,23862 Copenhagen St,,Mission Viejo,92691,1
Route 8,1,,24521 Veronica Ct Mission Viejo CA,Beyond Alphabets Preschool,24521 Veronica Ct,,Mission Viejo,92691,1
Route 8,2,,25521 Muirlands Blvd Mission Viejo CA,Kiddie Academy,25521 Muirlands,,Mission Viejo,92691,1
Route 8,3,,24178 Alicia Pkwy Mission Viejo CA,ADIO Chiropractic,24178 Alicia Parkway,,Mission Viejo,92691,1
Route 8,4,,24196 Alicia Pkwy Mission Viejo CA,Acting Academy for Kids,24196 Alicia Parkway,Ste A,Mission Viejo,92691,1
Route 8,5,,24194 Alicia Pkwy Mission Viejo CA,Blue Moon Pilates,24194 Alicia Parkway,Ste A,Mission Viejo,92691,1
Route 8,6,,24190 Alicia Pkwy Mission Viejo CA,"Antonucci's ",24190 Alicia Parkway,Ste 218,Mission Viejo,92691,1
Route 8,7,,24042 Alicia Pkwy Mission Viejo CA,Oggis Pizza & Brewing,24042 Alicia Pkwy,,Mission Viejo,92691,1
Route 8,8,,24000 Alicia Pkwy Mission Viejo CA,Fringe Dance Studio,24000 Alicia Parkway,Ste 26,Mission Viejo,92691,1
Route 8,9,,24000 Alicia Pkwy Mission Viejo CA,Pho King Way,24000 Alicia Parkway,Ste 22-23,Mission Viejo,92691,1
Route 8,10,,24000 Alicia Pkwy Mission Viejo CA,Madrid Chiropractic,24000 Alicia Parkway,Ste 16,Mission Viejo,92691,1
Route 8,11,,23982 Alicia Pkwy Mission Viejo CA,San Diego County Credit Union,23982 Alicia Pkwy,,Mission Viejo,92691,1
Route 8,12,,23962 Alicia Pkwy Mission Viejo CA,Pub Thirty Two,23962 Alicia Prkway,,Mission Viejo,92691,1
Route 8,13,,23962 Alicia Pkwy Mission Viejo CA,Saddleback Family Urgent Care,23962 Alicia Pkway,#I1,Mission Viejo,92691,2
Route 8,14,,25961 Camino Adelanto Mission Viejo CA,Bright Star Insurance Services,25961 Camino Adelanto,,Mission Viejo,92691,1
Route 8,15,,25372 Juniper Dr Mission Viejo CA,Your Franchise Coach,25372 Juniper Drive,,Mission Viejo,92691,1
Route 8,16,,25552 La Paz Rd Laguna Hills CA,Orange County Realtors,25552 La Paz Road,,Laguna Hills,92653,1
Route 8,17,,28202 Cabot Rd Laguna Niguel CA,Star Cleaning System,28202 Cabot Road,Ste 300,Laguna Niguel,92677,1
Route 8,18,,Doheny Park Rd Dana Point CA,Chick's Plumbing,3412 Doheny Park Rd,,Capistrano Beach,92624,1
Route 9,1,,24335 Airporter Way Laguna Niguel CA,Designing Women of OC,24335 Airporter Way,,Laguna Niguel,92677,2
Route 9,2,,27941 La Paz Rd Laguna Niguel CA,Keller Williams Laguna,27941 La Paz Road,#C,Laguna Niguel,92677,1
Route 9,3,,68 Alicia Pkwy Laguna Niguel CA,Bella Kitchen and Bath,24166 - 68 Alicia Parkway,,Mission Viejo,92691,1
Route 9,4,,University Drive Aliso Viejo CA,Soka University,One University Drive,,Aliso Viejo,92656,1
Route 9,5,,1 Liberty Aliso Viejo CA,So Cal Gas,1 Liberty,,Aliso Viejo,95656,1
Route 9,6,,26880 Aliso Viejo Pkwy Aliso Viejo CA,Mouton Niguel Water District,26880 Aliso Viejo Parkway,,Aliso Viejo,92656,1
Route 9,7,,3 Giotto Aliso Viejo CA,CyberDef,3 Giotto,,AV,92656,1
Route 9,8,,24411 Ridge Rte Dr Laguna Hills CA,Braille Institute,24411 Ridge Route Dr,#130,Laguna Hills,92653,2
Route 9,9,,23011 Moulton Pkwy Laguna Hills CA,GlitterBug Gold Buyers,23011 Moulton Pkwy,#A16,Laguna Hills,92653,1
Route 9,10,,7 Whatney Irvine CA,South County Outreach,7 Whatney,Ste B,Irvine,92618,2
Route 9,11,,21482 Vía Serpiente Lake Forest CA,Apex Quality Payroll Solutions,21482 Via Serpiente,,Lake Forest,92630,1
Route 9,12,,15375 Barranca Pkwy Irvine CA,Law Offices of Kurt Varricchio,15375 Barranca Parkway,Ste I-102,Irvine,92618,1
Route 9,13,,15300 Barranca Pkwy Irvine CA,Partners 4 Wellness,15300 Barranca Parkway,Ste 150,Irvine,92618,1
Route 9,14,,24975 Silverleaf Ln Laguna Hills CA,Coach Dave,24975 Silverleaf Lane,,Laguna Hills,92653,1
Route 9,15,,24251 Los Alisos Blvd Lake Forest CA,El Toro Water District,24251 Los Alisos Blvd,,Lake Forest,92630,1
Route 9,16,,24451 Alicia Pkwy Mission Viejo CA,Wild Birds Unlimited,24451 Alicia Pkwy,Ste 98,Mission Viejo,92691,1
Route 9,17,,24451 Alicia Pkwy Mission Viejo CA,Orange Cabinets,24451 Alicia Pkwy,"Ste #4, 218",Mission Viejo,92691,1
Route 9,18,,24451 Alicia Pkwy Mission Viejo CA,Salon Pompei,24451 Alicia Pkwy,Ste 10,Mission Viejo,92691,1
Route 10,1,,180 W Main St Tustin CA,Centric Partners,180 E Main Street,Ste 205,Tustin,92780,1
Route 10,2,,1241 Grand Ave Santa Ana CA,Southern Calif Edison,1241 S Grand Ave,"Bldg D, #24E",Santa Ana,92705,1
Route 10,3,,2222 W 2nd St Santa Ana CA,Monty McGriff Tile,2222 W 2nd St,,Santa Ana,92703,1
Route 10,4,,550 S Main St Orange CA,OCTA,550 S Main St,,Orange,92683,1
Route 10,5,,2200 Vía Burton Anaheim CA,West Coast Arborists,2200 E Via Burton St,,Anaheim,92806,1
Route 10,6,,8107 Loyola Blvd Los Angeles CA,Vancelf Financial Group,8107 Loyola Blvd,,Los Angeles,90045,1
Route 10,7,,3029 Garfield Ave Costa Mesa CA,Spoton Trnsact LLAC,3029 Garfield Ave,,Costa Mesa,92626,1
Route 10,8,,1001 Presidio Square Costa Mesa CA,Coastline ROP,1001 Presideo Square,,Costa Mesa,92626,1
Route 10,9,,20151 SW Birch St Newport Beach CA,Residential First Mortgage,20151 SW Birch Street,Ste 175,Newport Beach,92660,1
Route 10,10,,5270 California Ave Irvine CA,OC Talk Radio,5270 California Ave,Ste 350,Irvine,92617,1
Route 10,11,,2361 Campus Dr Irvine CA,Weston Automotive,2361 Campus Dr,Ste 130,Irvine,92612,1
Route 10,12,,18301 Von Karman Ave Irvine CA,Value Park Realty Partners,18301 Von Karman,Ste 850,Irvine,92612,2
Route 10,13,,18301 Von Karman Ave Irvine CA,Crown Valley Holdings,18301 Von Karman Ave,Ste 510,Irvine,92612,1
Route 10,14,,20 Executive Park Irvine CA,Business Group Resources,20 Executive Park,Ste 120,Irvine,92656,1
Route 10,15,,1900 Main St Irvine CA,Palmieri Tyler,1900 Main Street,Ste 700,Irvine,92614,1
Route 10,16,,5 Corporate Park Irvine CA,iFinance Mortgage,5 Corporate Park,Ste 240,Irvine,92606,1
Route 10,17,,125 Pacifica Irvine CA,Transportation Corridor Agencies,125 Pacifica,,Irvine,92618,1
Route 10,18,,430 Blumont St Laguna Beach CA,AAUW Mission Viejo,430 Blumon Street,,Laguna Beach,92651,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Rising Roots Nutrition,,,Mission Viejo,92692,1
DISMISSED REQUEST,DISMISSED REQUEST,,,The OC Local,,,0,,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Plumtree Marketing,PO Box 1313,,Lake Forest,92609,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Thrvy Automated CRM,,,Aliso Viejo,92656,1
DISMISSED REQUEST,DISMISSED REQUEST,,,HES Notary,,,Mission Viejo,,1
DISMISSED REQUEST,DISMISSED REQUEST,,,PayPro Tec West Coast,,,Mission Viejo,92691,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Devil Mountain Wholesale Nursery,PO Bo 220,,San Juan Capistrano,92693,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Mary Kay,,,Mission Viejo,92692,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Vacation Adventures Unlimited,www.vacationadventuresunlimited.com,,0,,1
DISMISSED REQUEST,DISMISSED REQUEST,,8945 Cal Center Dr Sacramento CA,Golden 1 Credit Union,8945 Cal Center Dr,,Sacramento,95826,1